symbol,name,sector,exchange
CMS,CMS Energy Corp Common,Utilities,NYSE
CNC,Centene Corp Common,Health Care,NYSE
CNP,CenterPoint Energy Inc Common,Utilities,NYSE
COF,Capital One Financial Corp Common,Financials,NYSE
COIN,Coinbase Global Inc Class A Common,Financials,Nasdaq
COO,Cooper Companies Inc Common,Health Care,Nasdaq
COP,ConocoPhillips Common,Energy,NYSE
COR,Cencora Inc Common,Health Care,NYSE
COST,Costco Wholesale Corp Common,Consumer Staples,Nasdaq
CPAY,Corpay Inc Common,Financials,NYSE
CPB,Campbell's Co Common,Consumer Staples,Nasdaq
CPRT,Copart Inc Common,Industrials,Nasdaq
CPT,Camden Property Trust Common,Real Estate,NYSE
CRH,CRH plc Common,Materials,NYSE
CRL,Charles River Laboratories International Inc Common,Health Care,NYSE
CRM,Salesforce Inc Common,Information Technology,NYSE
CRWD,CrowdStrike Holdings Inc Class A Common,Information Technology,Nasdaq
CSCO,Cisco Systems Inc Common,Information Technology,Nasdaq
CSGP,CoStar Group Inc Common,Real Estate,Nasdaq
CSX,CSX Corp Common,Industrials,Nasdaq
CTAS,Cintas Corp Common,Industrials,Nasdaq
CTRA,Coterra Energy Inc Common,Energy,NYSE
CTSH,Cognizant Technology Solutions Corporation Class A Common,Information Technology,Nasdaq
CTVA,Corteva Inc Common,Materials,NYSE
CVNA,Carvana Co Class A Common,Consumer Discretionary,NYSE
CVS,CVS Health Corp Common,Health Care,NYSE
CVX,Chevron Corp Common,Energy,NYSE
D,Dominion Energy Inc Common,Utilities,NYSE
DAL,Delta Air Lines Inc Common,Industrials,NYSE
DASH,DoorDash Inc Class A Common,Consumer Discretionary,Nasdaq
DD,DuPont de Nemours Inc Common,Materials,NYSE
DDOG,Datadog Inc Class A Common,Information Technology,Nasdaq
DE,Deere & Co Common,Industrials,NYSE
DECK,Deckers Outdoor Corp Common,Consumer Discretionary,NYSE
DELL,Dell Technologies Inc Class C Common,Information Technology,NYSE
DG,Dollar General Corp Common,Consumer Staples,NYSE
DGX,Quest Diagnostics Inc Common,Health Care,NYSE
DHI,D.R. Horton Inc Common,Consumer Discretionary,NYSE
DHR,Danaher Corp Common,Health Care,NYSE
DIS,Walt Disney Co Common,Communication Services,NYSE
DLR,Digital Realty Trust Inc Common,Real Estate,NYSE
DLTR,Dollar Tree Inc Common,Consumer Staples,Nasdaq
DOC,Healthpeak Properties Inc Common,Real Estate,NYSE
DOV,Dover Corp Common,Industrials,NYSE
DOW,Dow Inc Common,Materials,NYSE
DPZ,Domino's Pizza Inc Common,Consumer Discretionary,Nasdaq
DRI,Darden Restaurants Inc Common,Consumer Discretionary,NYSE
DTE,DTE Energy Co Common,Utilities,NYSE
DUK,Duke Energy Corp Common,Utilities,NYSE
DVA,DaVita Inc Common,Health Care,NYSE
DVN,Devon Energy Corp Common,Energy,NYSE
DXCM,DexCom Inc Common,Health Care,Nasdaq
EA,Electronic Arts Inc Common,Communication Services,Nasdaq
EBAY,eBay Inc Common,Consumer Discretionary,Nasdaq
ECL,Ecolab Inc Common,Materials,NYSE
ED,Consolidated Edison Inc Common,Utilities,NYSE
EFX,Equifax Inc Common,Industrials,NYSE
EG,Everest Group Ltd Common,Financials,NYSE
EIX,Edison International Common,Utilities,NYSE
EL,Estee Lauder Companies Inc Class A Common,Consumer Staples,NYSE
ELV,Elevance Health Inc Common,Health Care,NYSE
EME,EMCOR Group Inc Common,Industrials,NYSE
EMR,Emerson Electric Co Common,Industrials,NYSE
EOG,EOG Resources Inc Common,Energy,NYSE
EPAM,EPAM Systems Inc Common,Information Technology,NYSE
EQIX,Equinix Inc Common,Real Estate,Nasdaq
EQR,Equity Residential Common,Real Estate,NYSE
EQT,EQT Corp Common,Energy,NYSE
ERIE,Erie Indemnity Company Class A Common,Financials,Nasdaq
ES,Eversource Energy Common,Utilities,NYSE
ESS,Essex Property Trust Inc Common,Real Estate,NYSE
ETN,Eaton Corp Plc Common,Industrials,NYSE
ETR,Entergy Corp Common,Utilities,NYSE
EVRG,Evergy Inc Common,Utilities,Nasdaq
EW,Edwards Lifesciences Corp Common,Health Care,NYSE
EXC,Exelon Corp Common,Utilities,Nasdaq
EXE,Expand Energy Corp Common,Energy,Nasdaq
EXPD,Expeditors International of Washington Inc Common,Industrials,NYSE
EXPE,Expedia Group Inc Common,Consumer Discretionary,Nasdaq
EXR,Extra Space Storage Inc Common,Real Estate,NYSE
F,Ford Motor Co Common,Consumer Discretionary,NYSE
FANG,Diamondback Energy Inc Common,Energy,Nasdaq
FAST,Fastenal Co Common,Industrials,Nasdaq
FCX,Freeport-McMoRan Inc Common,Materials,NYSE
FDS,FactSet Research Systems Inc Common,Financials,NYSE
FDX,FedEx Corp Common,Industrials,NYSE
FE,FirstEnergy Corp Common,Utilities,NYSE
FFIV,F5 Inc Common,Information Technology,Nasdaq
FICO,Fair Isaac Corp Common,Information Technology,NYSE
FIS,Fidelity National Information Services Inc Common,Financials,NYSE
FISV,Fiserv Inc Common,Financials,Nasdaq
FITB,Fifth Third Bancorp Common,Financials,Nasdaq
FIX,Comfort Systems USA Inc Common,Industrials,NYSE
FOX,Fox Corporation Class B Common,Communication Services,Nasdaq
FOXA,Fox Corporation Class A Common,Communication Services,Nasdaq
FRT,Federal Realty Investment Trust Common,Real Estate,NYSE
FSLR,First Solar Inc Common,Information Technology,Nasdaq
FTNT,Fortinet Inc Common,Information Technology,Nasdaq
FTV,Fortive Corp Common,Industrials,NYSE
GD,General Dynamics Corp Common,Industrials,NYSE
GDDY,GoDaddy Inc Class A Common,Information Technology,NYSE
GE,GE Aerospace Common,Industrials,NYSE
GEHC,GE Healthcare Technologies Inc Common,Health Care,Nasdaq
GEN,Gen Digital Inc Common,Information Technology,Nasdaq
GEV,GE Vernova Inc Common,Industrials,NYSE
GILD,Gilead Sciences Inc Common,Health Care,Nasdaq
GIS,General Mills Inc Common,Consumer Staples,NYSE
GL,Globe Life Inc Common,Financials,NYSE
GLW,Corning Inc Common,Information Technology,NYSE
GM,General Motors Co Common,Consumer Discretionary,NYSE
GNRC,Generac Holdings Inc Common,Industrials,NYSE
GOOG,Alphabet Inc Class C Common,Communication Services,Nasdaq
GOOGL,Alphabet Inc Class A Common,Communication Services,Nasdaq
GPC,Genuine Parts Co Common,Consumer Discretionary,NYSE
GPN,Global Payments Inc Common,Financials,NYSE
GRMN,Garmin Ltd Common,Consumer Discretionary,NYSE
GS,Goldman Sachs Group Inc Common,Financials,NYSE
GWW,W.W. Grainger Inc Common,Industrials,NYSE
HAL,Halliburton Co Common,Energy,NYSE
HAS,Hasbro Inc Common,Consumer Discretionary,Nasdaq
HBAN,Huntington Bancshares Inc Common,Financials,Nasdaq
HCA,HCA Healthcare Inc Common,Health Care,NYSE
HD,Home Depot Inc Common,Consumer Discretionary,NYSE
HIG,Hartford Insurance Group Inc Common,Financials,NYSE
HII,Huntington Ingalls Industries Inc Common,Industrials,NYSE
HLT,Hilton Worldwide Holdings Inc Common,Consumer Discretionary,NYSE
HOLX,Hologic Inc Common,Health Care,Nasdaq
HON,Honeywell International Inc Common,Industrials,Nasdaq
HOOD,Robinhood Markets Inc Class A Common,Financials,Nasdaq
HPE,Hewlett Packard Enterprise Co Common,Information Technology,NYSE
HPQ,HP Inc Common,Information Technology,NYSE
HRL,Hormel Foods Corp Common,Consumer Staples,NYSE
HSIC,Henry Schein Inc Common,Health Care,Nasdaq
HST,Host Hotels & Resorts Inc Common,Real Estate,Nasdaq
HSY,Hershey Co Common,Consumer Staples,NYSE
HUBB,Hubbell Inc Common,Industrials,NYSE
HUM,Humana Inc Common,Health Care,NYSE
HWM,Howmet Aerospace Inc Common,Industrials,NYSE
IBKR,Interactive Brokers Group Inc Class A Common,Financials,Nasdaq
IBM,International Business Machines Corp Common,Information Technology,NYSE
ICE,Intercontinental Exchange Inc Common,Financials,NYSE
IDXX,IDEXX Laboratories Inc Common,Health Care,Nasdaq
IEX,IDEX Corp Common,Industrials,NYSE
IFF,International Flavors & Fragrances Inc Common,Materials,NYSE
INCY,Incyte Corp Common,Health Care,Nasdaq
INTC,Intel Corp Common,Information Technology,Nasdaq
INTU,Intuit Inc Common,Information Technology,Nasdaq
INVH,Invitation Homes Inc Common,Real Estate,NYSE
IP,International Paper Co Common,Materials,NYSE
IQV,IQVIA Holdings Inc Common,Health Care,NYSE
IR,Ingersoll Rand Inc Common,Industrials,NYSE
IRM,Iron Mountain Inc Common,Real Estate,NYSE
ISRG,Intuitive Surgical Inc Common,Health Care,Nasdaq
IT,Gartner Inc Common,Information Technology,NYSE
ITW,Illinois Tool Works Inc Common,Industrials,NYSE
IVZ,Invesco Ltd Common,Financials,NYSE
J,Jacobs Solutions Inc Common,Industrials,NYSE
JBHT,J.B. Hunt Transport Services Inc Common,Industrials,Nasdaq
JBL,Jabil Inc Common,Information Technology,NYSE
JCI,Johnson Controls International plc Common,Industrials,NYSE
JKHY,Jack Henry & Associates Inc Common,Financials,Nasdaq
JNJ,Johnson & Johnson Common,Health Care,NYSE
JPM,JPMorgan Chase & Co Common,Financials,NYSE
