date,time,symbol,xi,h_eff,h_c,beta_macro,beta_micro,beta_solv,beta_iv,r_lat,u,k,h_diss,psi_liq,psi_gamma,eta_orrell,psi_geo,phi_vanna,phi_charm,omega_opt,psi_val,merton_distance,phase
2026-01-05,09:30,AAPL,781.849030634162,125.5324126500651,0.16055837857628996,1.0632513058565989,2.3155682261525428,5.804520204231138,0.5007716087985948,1115.6973333333333,125.53081913741686,0.0014927670892258987,0.00010074555901649335,4.733248357454504e-13,0.16055837857581665,0.08040307754550555,160559.37857581666,1014252.2902201375,436614.20219788095,0.28456735539626127,1.0,4.234801354716669,BALLISTIC
2026-01-05,09:30,MSFT,174.27761155463094,43.60524698525404,0.2502056724112556,0.9546272807271666,3.6431530910023553,6.22943222526138,0.3749805042674757,364.9341142020498,43.57383010744137,0.03126232283277131,0.0001545549799036339,2.7578932642952824e-13,0.2502056724109798,0.09382224921125204,250206.6724109798,1317973.530732275,778285.8987327054,0.21827640430599182,1.0,4.712702542529481,BALLISTIC
2026-01-05,09:30,TSLA,118.77703567928533,18.552583678994115,0.1561967224799977,1.509342163043637,4.059031696634972,6.508496412742726,0.08395959922086604,145.88001983143283,18.45379370347979,0.0987781278273931,0.00001184768693201896,2.101891459592211e-13,0.1561967224797875,0.013114214219015796,156197.7224797875,517911.0593059844,1118903.836537456,0.6090907650081271,1.0,5.94911688541867,BALLISTIC
2026-01-05,09:30,CAT,210.9423840968044,42.793691891537875,0.20286910131772878,0.8560706410465292,5.376414475457981,7.041897635848684,0.08996118041120843,2.4410150891632374,42.79155453465074,0.0021078883781426466,0.000029468508988973937,7.961826903952918e-14,0.20286910131765537,0.018250343823497318,202870.10131765538,353349.2991443817,2614821.609527881,0.15059928039875112,0.9999999999999694,2.599208401206726,BALLISTIC
2026-01-05,09:30,CSCO,266440421.91081333,123376134.91772,0.4630533686777384,1.168608760601839,1.0,6.849031956565709,0.26584037571610347,128.62584615384617,123376134.88614877,0.031005337488833325,0.0005659071932292354,2.895301353408282e-13,0.46305336867744884,0.12309828150582038,463054.3686774489,884635.9841632093,10851698.668777743,0.20052555651696574,1.0,4.1615910945919365,SUPERCRITICAL
2026-01-05,09:30,GE,65.12942603150336,14.272126116306799,0.2191348363703269,0.8174930396966807,4.232248856403278,6.310066776190769,0.27755381401324647,10.798913043478262,14.265794595886213,0.0062413662145313934,0.00009015420605514722,1.1442186480721405e-13,0.2191348363702125,0.06082170961772116,219135.83637021252,780208.454364192,696111.0696365897,0.35641209113295697,1.0,3.542216244302204,BALLISTIC
2026-01-05,09:30,IBM,85.13414534087693,12.02183639081142,0.14121051362735848,1.1609037017313755,2.001842757174507,7.319016798247907,0.24041632514862757,2.9926829268292683,12.020781664347137,0.0010275874386847285,0.000027139025597989005,1.4938832811379987e-13,0.14121051362734371,0.03394931275863617,141211.51362734372,543476.7182877386,388833.45645808364,0.11511489911425275,0.9999999999990468,2.224574443519647,BALLISTIC
2026-01-05,09:30,INTC,1379686982.030298,168843520.31480846,0.12237813541325465,1.090676210248676,1.0,7.063088370292731,0.0831163767988334,948.6662908680947,168843518.38396567,1.9308362418165208,6.544837499930517e-6,1.334608868855256e-12,0.12237813541358261,0.010171627214973989,122379.13541358261,360646.0085145165,880178.5071369675,0.1952161536431769,0.9999999999864144,2.083908507534284,BALLISTIC
2026-01-05,09:30,KO,5961041.078136787,1220542.7656070462,0.2047532888313102,1.3467859494127419,1.0,6.69311004691166,0.9081860369008982,10.423107255520504,1220542.7497804433,0.015639328761731335,0.00018727407498453672,3.69508706092612e-13,0.2047532888309681,0.18595407792582186,204754.28883096811,785398.5289863233,373459.2934631705,0.1389924956996469,0.9999999999998661,2.605116423849562,SUPERCRITICAL
2026-01-05,09:30,MCD,4.349477709494277,1.4345342946001836,0.3298175988967144,1.0198969124445594,3.212348930490534,7.118731454472397,0.5352174840310218,83.27272727272727,1.4341578942620425,0.000026320412880298105,0.0003500799252606433,6.667970529135447e-14,0.32981759889753504,0.1765241454710914,329818.59889753506,681127.0279974203,3896590.2201331113,0.08413272902727693,0.9999999999973097,2.2014289839417844,SUPERCRITICAL
