date,time,symbol,xi,h_eff,h_c,beta_macro,beta_micro,beta_solv,beta_iv,r_lat,u,k,h_diss,psi_liq,psi_gamma,eta_orrell,psi_geo,phi_vanna,phi_charm,omega_opt,psi_val,merton_distance,phase,P_close_t,P_snap,intraday_var,rv_fwd_5d,threshold_99,target_event,garch_sigma
2026-01-05,10:30,CSCO,0.0064312783150074155,0.02643126257299378,4.109799215393356,1.168608760601839,1.0,6.850310131059559,0.4949607599611633,25.865,1.8145918746820658e-20,5.492735203622969e-05,0.02637633522095755,8.141123686649094e-13,4.109799215392542,2.034189342938485,4109800.215392542,9422931.014026519,14716525.653025914,1.3074920667661407,1.0,4.150157837617804,ELASTIC,75.695,76.45,9.850213760876797e-05,0.018431315589734022,0.032606454611728015,0,0.010013863574803421
2026-01-06,10:30,CSCO,0.004345910535964865,0.01408122524971036,3.2401093241980625,1.168608760601839,1.0,6.850772316924064,0.4217631387438026,14.572825024437927,1.6888268771338884e-20,0.0,0.01408122524971036,8.848295004621152e-13,3.240109324197178,1.366558678446463,3240110.3241971782,5846085.853167808,15685108.304864202,0.7795241619701616,1.0,4.146156622064382,ELASTIC,75.38,75.54,4.495796956697492e-06,0.015919670857107424,0.03260429345520195,0,0.00992898995959502
2026-01-07,10:30,CSCO,0.0057389861844122465,0.020532778818909612,3.5777710834500747,1.168608760601839,1.0,6.851394607194674,0.38606610545300524,9.530225782957029,1.4245257749364136e-20,0.00037158581505621676,0.020161193003853394,8.921357008482044e-13,3.5777710834491825,1.3812561483896049,3577772.0834491826,10742907.502702404,16654260.073811177,1.3348850494322277,1.0,4.140662038236595,ELASTIC,74.96,75.21,1.108598915929471e-05,0.02353717706036258,0.03260213229867588,0,0.00983623033611075
2026-01-08,10:30,CSCO,0.008380192786988252,0.03455098371965167,4.122934232885221,1.168608760601839,1.0,6.8529506314845925,0.2912557622471257,486.9130434782609,0.0,0.00018245620163974294,0.03436852751801193,1.0476406631190889e-12,4.122934232884173,1.2008283526934482,4122935.2328841733,6480261.851418652,68154513.34518608,1.015436581401886,1.0,4.127058021185816,ELASTIC,73.93,74.31,2.6284412512208085e-05,0.02019476785872934,0.032599971142149825,0,0.009784786238084675
2026-01-09,10:30,CSCO,0.015323446332006161,0.07273997048228677,4.746971986997104,1.168608760601839,1.0,6.852828223905693,0.37328527011743706,22.0993031358885,0.0,2.4675043595573142e-05,0.0727152954386912,9.065331453362105e-13,4.746971986996197,1.7719747204057823,4746972.986996197,12445688.069508873,90161051.86839019,1.3768993967857108,1.0,4.128521298287906,ELASTIC,74.01,73.44,5.977567315921334e-05,0.024037216732115525,0.03259780998562376,0,0.00980731576164494
2026-01-12,10:30,CSCO,0.005695338740511792,0.02106784990055691,3.699139043424785,1.168608760601839,1.0,6.8533965884416075,0.35110231271689124,201.31034482758622,1.4130925933411247e-20,5.386835394695747e-05,0.021013981546609953,9.018567369747573e-13,3.699139043423883,1.2987762732074741,3699140.043423883,9730063.485686552,24425596.14458482,1.5042065873506,1.0,4.123694136574488,ELASTIC,73.64,72.95,8.862492853206627e-05,0.025423117283833552,0.03259780998562376,0,0.00973904300460983
2026-01-13,10:30,CSCO,49098.503910939675,142686.12616497095,2.9061196329686725,1.168608760601839,1.0,6.851364816240515,0.4003328109504013,3.1637183733878356,142686.11483387725,3.431242176072086e-05,0.011296781263836379,1.5410774662946065e-12,2.9061196329671315,1.1634150416238802,2906120.6329671317,5697779.763150645,14484150.422127552,0.8739356057908088,1.0,4.141224370815881,SUPERCRITICAL,74.98,73.99,0.00017666297194127506,0.020978511241301692,0.03259780998562376,0,0.009657834177657363
2026-01-14,10:30,CSCO,0.0066310843399406474,0.025461572644407373,3.8397298751044495,1.168608760601839,1.0,6.851978724828903,0.32744541234418767,6.77549889135255,1.2672587132054724e-20,4.703534676396799e-05,0.025414537297643404,8.146117996909761e-13,3.839729875103635,1.257301932243606,3839730.8751036352,10714966.00835813,33171130.959474586,1.3194550015103732,1.0,4.135732749484638,ELASTIC,74.57,74.93,2.3194461091157082e-05,0.016735369987023595,0.03259780998562376,0,0.009849550151503773
2026-01-15,10:30,CSCO,0.007404754514946367,0.03090947824128375,4.174274539269804,1.168608760601839,1.0,6.850669275442542,0.36560859842402044,6.592193808882907,5.053709524300545e-21,4.586075277822078e-06,0.030904892166005928,8.3079215556598e-13,4.174274539268974,1.5261506637392033,4174275.539268974,8734494.995276455,37259361.765139066,1.36400694108233,1.0,4.14766945798816,ELASTIC,75.45,75.28,5.088137090681956e-06,0.011309043877237893,0.03259780998562376,0,0.009798686326829141
2026-01-16,10:30,CSCO,0.006542433410578128,0.014661560798693707,2.2409950363404807,1.168608760601839,1.0,6.851566214156008,0.3382554548298456,6.3504795117698345,0.0,9.370077351977393e-06,0.01465219072134173,9.530805219966194e-13,2.2409950363395277,0.7580287952884532,2240996.036339528,3635739.7623113682,47085079.37505703,0.6116433815384685,1.0,4.139852288929728,ELASTIC,74.845,75.71,0.00013204178822007027,0.014308184357108017,0.03259780998562376,0,0.009883087598586537
