date,time,symbol,xi,h_eff,h_c,beta_macro,beta_micro,beta_solv,beta_iv,r_lat,u,k,h_diss,psi_liq,psi_gamma,eta_orrell,psi_geo,phi_vanna,phi_charm,omega_opt,psi_val,merton_distance,phase,P_close_t,P_snap,intraday_var,rv_fwd_5d,threshold_99,target_event,garch_sigma
2026-01-05,10:30,DIS,3954.9737380676966,12734.57567158259,3.219888807101003,0.8349473022397329,1.20959341962602,7.599631181462026,0.3460610740063249,5.769647696476965,12734.561687156058,1.56282565609647e-07,0.013984270250649595,3.41900506812178e-13,3.219888807101505,1.114278178766491,3219889.807101505,6779552.668650981,17030715.257086802,1.318376739032618,0.999999999999738,2.242416527670502,SUPERCRITICAL,113.38,111.4,0.00031038269801669105,0.023195962912999336,0.032999893826336196,0,0.009305631446155042
2026-01-06,10:30,DIS,7573.812699549585,30814.273714816736,4.068528617911196,0.8349473022397329,1.20959341962602,7.594331707949052,0.3204711426212184,5.181360201511335,30814.254301481884,1.8180795949810375e-06,0.019411516770920834,2.7650545726635956e-13,4.068528617911928,1.3038460149693623,4068529.617911929,10027208.635829616,15300235.590653744,1.6148420309207956,0.999999999999752,2.2482247512313984,SUPERCRITICAL,114.11,113.77,8.904428445975375e-06,0.019789368591119114,0.03299750527760137,0,0.00933664198838162
2026-01-07,10:30,DIS,75275.17074896218,233428.24772234514,3.100999245831182,0.8349473022397329,1.20959341962602,7.599266027814332,0.28133736514189017,6.234580384226492,233428.2334550706,5.743230546026409e-06,0.014261531326973857,3.7306543983280093e-13,3.100999245831617,0.8724269571292558,3101000.245831617,5045093.712743951,31039100.936577804,0.9141084977736107,0.9999999999997393,2.242908543314938,SUPERCRITICAL,113.43,114.46,8.171274845258834e-05,0.02337523166455297,0.032995116728866535,0,0.009292324302803042
2026-01-08,10:30,DIS,12669.566658723437,32354.97983303801,2.5537558390570907,0.8349473022397329,1.20959341962602,7.600435654245352,0.2774222563821185,12.392156862745098,32354.967016555976,1.98196926749904e-05,0.01279666233916075,2.4962646014674214e-13,2.553755839057515,0.708468707120346,2553756.839057515,4912806.069462296,35914614.69766939,0.897496177215978,0.9999999999997362,2.2416535517917042,SUPERCRITICAL,113.27,112.545,4.1231906359343154e-05,0.0244362678321169,0.032992728180131714,0,0.009268636087503277
2026-01-09,10:30,DIS,12482.933633543375,28722.0090701303,2.300902168777881,0.8349473022397329,1.20959341962602,7.590383526801266,0.3315371281997614,3.2508833922261484,28721.99820566516,6.222391922663045e-08,0.010864402917066482,1.9921085746882386e-13,2.3009021687782267,0.7628344973053359,2300903.1687782267,3603369.742263389,28498964.609123245,0.6196251945629146,0.999999999999763,2.2529040415542756,SUPERCRITICAL,114.66,114.3,9.88886563174649e-06,0.020522688728596982,0.03299033963139689,0,0.009290041726796688
2026-01-12,10:30,DIS,32583.53629706634,115248.72329132364,3.5370231837512387,0.8349473022397329,1.20959341962602,7.6019390758858085,0.2964032408129606,6.617582417582417,115248.70865569884,3.4533740896014584e-06,0.014632171431162116,2.6050752437271457e-13,3.537023183751919,1.0483851344946447,3537024.1837519193,9546232.157686334,14337203.254595999,1.3095679004660346,0.999999999999734,2.240543288124018,SUPERCRITICAL,113.065,114.78,0.00022663430013610572,0.021035181473128554,0.03299033963139689,0,0.00930304430486697
2026-01-13,10:30,DIS,1916.8280796813206,4847.824153113281,2.529086569891677,0.8349473022397329,1.20959341962602,7.611000262891845,0.27290255945785924,2.4362272240085745,4847.816096797657,1.238436977964766e-06,0.008055077186569018,3.105052683349704e-13,2.5290865698921046,0.6901941980140534,2529087.5698921047,6690767.467578169,15352177.1904548,1.0853159351747834,0.9999999999997081,2.2307062343071147,SUPERCRITICAL,111.845,112.62,4.768365997507893e-05,0.024192393606497792,0.03299033963139689,0,0.00932651496913748
2026-01-14,10:30,DIS,3466.974976299636,8682.667991621547,2.5043930374394314,0.8349473022397329,1.20959341962602,7.602932114821818,0.2877453670547768,4.827751196172249,8682.655695757,2.6837546692885975e-06,0.012293180792216613,2.479592809132962e-13,2.504393037439859,0.7206274938075596,2504394.037439859,4100410.7555221347,35319045.84589429,0.805357640774421,0.9999999999997302,2.2391814524400377,SUPERCRITICAL,112.93,112.6,8.564062954886084e-06,0.022809285545767787,0.03299033963139689,0,0.009331928248413033
2026-01-15,10:30,DIS,7057.314441220897,18757.23626882579,2.6578433517524886,0.8349473022397329,1.20959341962602,7.604629438288182,0.2742867178577764,1.5629228687415426,18757.22331798541,9.164607394511451e-07,0.01294992391852406,2.94804643756376e-13,2.657843351752919,0.7290111295324198,2657844.351752919,3955011.9205252733,37611502.58204971,0.7053390237455831,0.9999999999997271,2.2377697975274837,SUPERCRITICAL,112.7,113.675,7.420235125272674e-05,0.03278049982763319,0.03299033963139689,0,0.009306106219210773
2026-01-16,10:30,DIS,8987.945727441924,29607.710384209186,3.2941576731834465,0.8349473022397329,1.20959341962602,7.603890621070111,0.2141583664788341,8.818627450980392,29607.67205473711,4.0267653495285694e-06,0.03832544530900237,2.5487198967627613e-13,3.294157673184083,0.7054714262128202,3294158.673184083,4021317.8242835132,133827758.78983265,1.18161952028641,0.9999999999997294,2.2386578769940324,SUPERCRITICAL,112.8,113.03,4.149088463729277e-06,0.03711307897887329,0.03299033963139689,1,0.009319074265719221
