date,time,symbol,xi,h_eff,h_c,beta_macro,beta_micro,beta_solv,beta_iv,r_lat,u,k,h_diss,psi_liq,psi_gamma,eta_orrell,psi_geo,phi_vanna,phi_charm,omega_opt,psi_val,merton_distance,phase
2026-01-05,09:30,AAPL,1906.9093219664605,277.94795876211293,0.14575835125473344,1.2985276780514443,2.3617305438720333,5.789245757762421,0.5034175837982195,1115.6973333333333,277.9462728409456,0.0016064924574879056,0.00007942870983428365,4.0797246816717966e-13,0.14575835125432546,0.0733773170068647,145759.35125432548,1014252.2902201373,436614.20219788095,0.2583363690595351,1.0,4.234722942562027,BALLISTIC
2026-01-05,09:30,MSFT,6539.844231341865,1468.5336436985488,0.2245517770378501,1.1797616450389352,3.7994086131335467,6.634939044415966,0.3305458770078728,364.9341142020498,1468.4960589896264,0.037479428255597406,0.00010528066667056112,2.4988607186476396e-13,0.2245517770376002,0.07422466407456987,224552.77703760023,1317973.5307322755,778285.8987327054,0.19589625606800296,1.0,4.714229355802225,BALLISTIC
2026-01-05,09:30,TSLA,385.7686293054905,64.96374675640865,0.16840080250528563,0.901604880260982,3.4516413954347223,6.4052675870995,0.08668763231023324,145.88001983143283,64.9160909866599,0.04764154721402658,0.000014222534732239662,2.247471794283141e-13,0.1684008025050609,0.014598266848306923,168401.8025050609,517911.0593059844,1118903.836537456,0.6566807036496123,1.0,5.9487333654849595,BALLISTIC
2026-01-05,09:30,CAT,2893.182424299564,538.1876262186265,0.1860192505313318,0.8986634693365398,4.494230202156051,7.049863168710144,0.08975800372810427,2.4410150891632374,538.185344577845,0.0022569402517123786,0.000024700529824178665,7.296633194234062e-14,0.18601925053126434,0.016696716582684387,186020.25053126435,353349.2991443818,2614821.609527881,0.13809084324999357,0.9999999999999705,2.5992311736332643,BALLISTIC
2026-01-05,09:30,CSCO,270770565.2585442,155268574.22427365,0.5734322490925705,1.0449349024478116,1.0218176377955637,6.360254725154129,0.3082693229868487,128.62584615384617,155268574.19087765,0.032372452875863385,0.001023563183607273,3.602132602151909e-13,0.5734322490922102,0.17677157120648165,573433.2490922103,884635.9841632092,10851698.668777743,0.24832520105061234,1.0,4.159889904151892,SUPERCRITICAL
2026-01-05,09:30,GE,312.39337598161774,50.16384902826327,0.16057910597699446,0.8698346066802994,2.001101324383086,6.337426979601357,0.27516245347513324,10.798913043478262,50.15857346417384,0.005227226253010275,0.000048337836414932244,8.47203595545436e-14,0.16057910597690975,0.04418534077744992,160580.10597690975,780208.454364192,696111.0696365898,0.2611740602338608,1.0,3.5423244374988916,BALLISTIC
2026-01-05,09:30,IBM,1701.6968623677162,199.6839641569674,0.11734402793640346,1.1200313015287118,2.5543007349487405,7.005113287862303,0.2624454912266966,2.9926829268292683,199.6831687720797,0.0007743908929231752,0.000020993994765296663,1.23129100933024e-13,0.11734402793665072,0.030796411054353504,117345.02793665073,543476.7182877384,388833.45645808364,0.09565892503751881,0.9999999999968436,2.2237191826172364,BALLISTIC
2026-01-05,09:30,INTC,1379686981.0982122,204752175.76891306,0.1484048038243668,1.029854191000143,1.0,6.918540117288684,0.08662573970621362,948.6662908680947,204752173.56755346,2.201349091387994,0.000010528980125768705,1.680747046941708e-12,0.14840480382606736,0.012855675907388606,148405.80382606736,360646.0085145165,880178.5071369674,0.23673358714925832,0.9999999999772158,2.08348533019603,BALLISTIC
2026-01-05,09:30,KO,6002739.538666436,959861.9792260993,0.15990398601225025,1.0606128363442422,1.0217720932966308,7.071994086686818,0.8134801762270667,10.423107255520504,959861.9671270614,0.011996985091490098,0.00010205281181185411,3.014800785262141e-13,0.15990398601195271,0.1300787227204137,159904.98601195271,785398.5289863235,373459.29346317047,0.10854748275360172,0.9999999999999754,2.606280325027722,SUPERCRITICAL
2026-01-05,09:30,MCD,3.6806084762409106,1.6492766536237196,0.44809891197885937,1.4117818805462539,2.987721007422852,7.081688443328131,0.5408313770008043,83.27272727272727,1.6486081701336774,0.00004949907675674943,0.0006189844132852482,8.573957101841491e-14,0.4480989119801601,0.2423459515987922,448099.9119801601,681127.0279974203,3896590.220133111,0.114304950569835,0.9999999999969058,2.201325493886105,SUPERCRITICAL
2026-01-05,09:30,NKE,1183634536.8014297,95085272.30413793,0.08033330335315295,1.078203320699253,1.0,6.82127608373485,0.18959032548149504,25.962962962962962,95085272.30152158,0.0026083650363409104,7.980407508776132e-6,2.8872778874311423e-13,0.08033330335286468,0.01523041712967329,80334.30335286468,234359.19819782634,503348.01406830293,0.06386154633949231,0.9999999999999942,2.828391656411542,BALLISTIC
2026-01-05,09:30,UNH,0.03411068832199316,0.027386997421289333,0.8028860972480385,1.2512705379895883,4.777708838751306,7.273517120533412,0.1947598210862229,17.5703125,0.023863977302715344,0.0032508579917003766,0.000272162126873612,7.089218917941412e-14,0.8028860972481365,0.15636995265266282,802887.0972481365,1270925.3093076744,1150199.650125196,0.48948517463735236,0.9999999999997895,2.3606326069593644,ELASTIC
2026-01-05,09:30,VZ,148435390.7440559,24770994.65381904,0.16688065110113232,1.275581658866302,1.0,9.77444018984966,0.6550755763566173,2.5247000705716305,24770994.653279614,0.0004243830701747542,0.00011504329124742673,1.4079720452696036e-12,0.16688065575772462,0.10931944175326169,166881.65575772463,988832.4123692798,566559.541065306,0.11911275682489661,0.9999999720878356,1.046800026100892,SUPERCRITICAL
